Year,Value
1850,-0.417769231
1851,-0.233384615
1853,-0.270230769
1854,-0.291615385
1855,-0.296923077
1856,-0.320384615
1857,-0.467307692
1858,-0.388923077
1859,-0.281307692
1860,-0.390076923
1861,-0.429384615
1862,-0.536461538
1863,-0.344230769
1864,-0.465384615
1865,-0.332692308
1866,-0.341230769
1867,-0.356846154
1868,-0.352076923
1870,-0.327769231
1871,-0.368538462
1873,-0.341461538
1874,-0.373230769
1875,-0.375538462
1876,-0.424
1879,-0.303538462
1880,-0.315846154
1881,-0.232307692
1882,-0.295538462
1883,-0.346384615
1884,-0.492307692
1885,-0.471153846
1886,-0.421
1887,-0.498923077
1888,-0.379307692
1889,-0.249923077
1890,-0.506769231
1891,-0.401384615
1892,-0.507615385
1893,-0.494692308
1894,-0.483846154
1895,-0.448769231
1896,-0.283923077
1897,-0.259769231
1898,-0.485923077
1899,-0.355461538
1900,-0.234615385
1901,-0.293461538
1902,-0.439076923
1903,-0.533230769
1904,-0.597615385
1905,-0.407615385
1906,-0.319307692
1907,-0.504153846
1908,-0.513769231
1909,-0.535923077
1910,-0.531076923
1911,-0.539076923
1912,-0.475615385
1913,-0.467153846
1914,-0.262538462
1915,-0.191769231
1916,-0.420153846
1917,-0.543
1918,-0.424615385
1919,-0.325538462
1920,-0.298615385
1921,-0.240615385
1922,-0.339153846
1923,-0.318
1924,-0.312076923
1927,-0.229461538
1928,-0.206846154
1929,-0.392692308
1931,-0.103384615
1933,-0.322384615
1936,-0.169384615
1945,0.041857143
1946,-0.118833333
1949,-0.143846154
1950,-0.226692308
1956,-0.263076923
1959,-0.0286
1963,-0.054222222
1964,-0.306076923
1965,-0.204461538
1971,-0.206
1976,-0.215846154
1978,0.028
1980,0.2405
1981,0.284
1984,0.076
1986,0.145
1987,0.210666667
1988,0.359
1991,0.356666667
1992,0.251
1993,0.222333333
1994,0.2045
1995,0.413333333
1996,0.278666667
1997,0.356166667
1998,0.651166667
1999,0.3495
2000,0.3865
2001,0.444
2002,0.6015
2003,0.507333333
2004,0.476166667
2005,0.597333333
2006,0.536666667
2007,0.655333333
2008,0.392833333
2009,0.534833333
2010,0.759166667
2011,0.505833333
2012,0.525666667
2013,0.584833333
2014,0.657666667
2015,0.7515
2016,1.030166667
2017,0.894666667
2018,0.761666667
2019,0.874333333
2020,1.012
2021,0.695166667
